timestamp_pc;tempo_s;rpm_bruto;rpm_calibrado;freq_hz
14:33:07.969160;0.08;0.00;0.00;0.00
14:33:08.169593;0.28;0.00;0.00;0.00
14:33:08.369567;0.48;0.00;0.00;0.00
14:33:08.569330;0.68;0.00;0.00;0.00
14:33:08.769607;0.88;0.00;0.00;0.00
14:33:08.969503;1.08;0.00;0.00;0.00
14:33:09.169109;1.28;0.00;0.00;0.00
14:33:09.369386;1.48;0.00;0.00;0.00
14:33:09.569692;1.68;0.00;0.00;0.00
14:33:09.769288;1.88;0.00;0.00;0.00
14:33:09.969356;2.08;0.00;0.00;0.00
14:33:10.169366;2.28;0.00;0.00;0.00
14:33:10.369384;2.48;0.00;0.00;0.00
14:33:10.569429;2.68;0.00;0.00;0.00
14:33:10.769609;2.88;0.00;0.00;0.00
14:33:10.969340;3.08;0.00;0.00;0.00
14:33:11.169642;3.28;0.00;0.00;0.00
14:33:11.369329;3.48;0.00;0.00;0.00
14:33:11.569396;3.68;0.00;0.00;0.00
14:33:11.769612;3.88;0.00;0.00;0.00
14:33:11.969606;4.08;0.00;0.00;0.00
14:33:12.169615;4.28;0.00;0.00;0.00
14:33:12.369715;4.48;0.00;0.00;0.00
14:33:12.569702;4.68;0.00;0.00;0.00
14:33:12.769722;4.88;0.00;0.00;0.00
14:33:12.969634;5.08;0.00;0.00;0.00
14:33:13.169415;5.28;0.00;0.00;0.00
14:33:13.369713;5.48;0.00;0.00;0.00
14:33:13.569812;5.68;0.00;0.00;0.00
14:33:13.769615;5.88;0.00;0.00;0.00
14:33:13.969432;6.08;0.00;0.00;0.00
14:33:14.169819;6.28;0.00;0.00;0.00
14:33:14.370181;6.48;0.00;0.00;0.00
14:33:14.569784;6.68;0.00;0.00;0.00
14:33:14.769809;6.88;0.00;0.00;0.00
14:33:14.969843;7.08;0.00;0.00;0.00
14:33:15.170050;7.28;0.00;0.00;0.00
14:33:15.369806;7.48;0.00;0.00;0.00
14:33:15.569751;7.68;0.00;0.00;0.00
14:33:15.769864;7.88;0.00;0.00;0.00
14:33:15.969060;8.08;0.00;0.00;0.00
14:33:16.169816;8.28;0.00;0.00;0.00
14:33:16.369748;8.48;0.00;0.00;0.00
14:33:16.569752;8.68;0.00;0.00;0.00
14:33:16.769826;8.88;0.00;0.00;0.00
14:33:16.969728;9.08;0.00;0.00;0.00
14:33:17.169937;9.28;0.00;0.00;0.00
14:33:17.369407;9.48;0.00;0.00;0.00
14:33:17.569742;9.68;0.00;0.00;0.00
14:33:17.769933;9.88;0.00;0.00;0.00
14:33:17.969932;10.08;0.00;0.00;0.00
14:33:18.169996;10.28;0.00;0.00;0.00
14:33:18.370020;10.48;0.00;0.00;1.62
14:33:18.570097;10.68;34.92;34.78;3.25
14:33:18.770243;10.88;34.92;34.78;6.37
14:33:18.970444;11.08;34.92;34.78;7.87
14:33:19.170623;11.28;221.48;220.61;11.00
14:33:19.370606;11.48;221.48;220.61;14.12
14:33:19.570737;11.68;408.28;406.67;15.62
14:33:19.770498;11.88;408.28;406.67;18.75
14:33:19.969916;12.08;408.28;406.67;20.25
14:33:20.170759;12.28;595.31;592.97;23.37
14:33:20.370667;12.48;595.31;592.97;25.00
14:33:20.570614;12.68;777.42;774.36;28.00
14:33:20.770726;12.88;777.42;774.36;31.12
14:33:20.970812;13.08;777.42;774.36;32.75
14:33:21.170744;13.28;963.87;960.07;35.75
14:33:21.370889;13.48;963.87;960.07;37.37
14:33:21.571083;13.68;1149.49;1144.96;40.50
14:33:21.770953;13.88;1149.49;1144.96;43.50
14:33:21.971044;14.08;1149.49;1144.96;45.12
14:33:22.170751;14.28;1334.18;1328.92;48.25
14:33:22.370723;14.48;1334.18;1328.92;49.75
14:33:22.570857;14.68;1519.10;1513.12;52.87
14:33:22.770798;14.88;1519.10;1513.12;56.00
14:33:22.971284;15.08;1519.10;1513.12;57.50
14:33:23.171023;15.28;1704.38;1697.66;60.00
14:33:23.371181;15.48;1704.38;1697.66;60.00
