timestamp_pc;tempo_s;rpm_bruto;rpm_calibrado;freq_hz
14:35:00.988379;0.08;0.00;0.00;0.00
14:35:01.188631;0.28;0.00;0.00;0.00
14:35:01.388027;0.48;0.00;0.00;0.00
14:35:01.588555;0.68;0.00;0.00;0.00
14:35:01.788246;0.88;0.00;0.00;0.00
14:35:01.988381;1.08;0.00;0.00;0.00
14:35:02.188735;1.28;0.00;0.00;0.00
14:35:02.388543;1.48;0.00;0.00;0.00
14:35:02.588378;1.68;0.00;0.00;0.00
14:35:02.788476;1.88;0.00;0.00;0.00
14:35:02.988535;2.08;0.00;0.00;0.00
14:35:03.188596;2.28;0.00;0.00;0.00
14:35:03.388718;2.48;0.00;0.00;0.00
14:35:03.588653;2.68;0.00;0.00;0.00
14:35:03.788777;2.88;0.00;0.00;0.00
14:35:03.988675;3.08;0.00;0.00;0.00
14:35:04.188354;3.28;0.00;0.00;0.00
14:35:04.387957;3.48;0.00;0.00;0.00
14:35:04.588534;3.68;0.00;0.00;0.00
14:35:04.788867;3.88;0.00;0.00;0.00
14:35:04.988807;4.08;0.00;0.00;0.00
14:35:05.188728;4.28;0.00;0.00;0.00
14:35:05.388703;4.48;0.00;0.00;0.00
14:35:05.588676;4.68;0.00;0.00;0.00
14:35:05.787920;4.88;0.00;0.00;0.00
14:35:05.988935;5.08;0.00;0.00;0.00
14:35:06.188761;5.28;0.00;0.00;0.00
14:35:06.388799;5.48;0.00;0.00;0.00
14:35:06.588751;5.68;0.00;0.00;0.00
14:35:06.788755;5.88;0.00;0.00;0.00
14:35:06.988761;6.08;0.00;0.00;0.00
14:35:07.188439;6.28;0.00;0.00;0.00
14:35:07.388931;6.48;0.00;0.00;0.00
14:35:07.588874;6.68;0.00;0.00;0.00
14:35:07.788693;6.88;0.00;0.00;0.00
14:35:07.988696;7.08;0.00;0.00;0.00
14:35:08.188907;7.28;0.00;0.00;0.00
14:35:08.388671;7.48;0.00;0.00;0.00
14:35:08.588877;7.68;0.00;0.00;0.00
14:35:08.788712;7.88;0.00;0.00;0.00
14:35:08.989082;8.08;0.00;0.00;0.00
14:35:09.188794;8.28;0.00;0.00;0.00
14:35:09.388595;8.48;0.00;0.00;0.00
14:35:09.588693;8.68;0.00;0.00;0.00
14:35:09.788876;8.88;0.00;0.00;0.00
14:35:09.988724;9.08;0.00;0.00;0.00
14:35:10.188567;9.28;0.00;0.00;0.00
14:35:10.388935;9.48;0.00;0.00;0.00
14:35:10.589005;9.68;0.00;0.00;0.00
14:35:10.788911;9.88;0.00;0.00;0.00
14:35:10.989009;10.08;0.00;0.00;0.00
14:35:11.189275;10.28;0.00;0.00;0.00
14:35:11.389170;10.48;0.00;0.00;0.00
14:35:11.589121;10.68;0.23;0.23;0.12
14:35:11.788973;10.88;0.23;0.23;3.25
14:35:11.989538;11.08;0.23;0.23;4.75
14:35:12.189606;11.28;121.64;121.16;7.87
14:35:12.389063;11.48;121.64;121.16;9.37
14:35:12.589468;11.68;315.23;313.99;9.37
14:35:12.789275;11.88;315.23;313.99;9.37
14:35:12.989333;12.08;315.23;313.99;9.37
14:35:13.189945;12.28;504.02;502.04;9.37
14:35:13.389850;12.48;504.02;502.04;23.25
14:35:13.589787;12.68;691.64;688.92;24.75
14:35:13.789743;12.88;691.64;688.92;27.87
14:35:13.989293;13.08;691.64;688.92;29.37
14:35:14.189802;13.28;876.33;872.88;32.50
14:35:14.389260;13.48;876.33;872.88;35.62
14:35:14.589851;13.68;1060.90;1056.72;37.12
14:35:14.789800;13.88;1060.90;1056.72;40.25
14:35:14.990108;14.08;1060.90;1056.72;41.87
14:35:15.190143;14.28;1246.41;1241.50;44.87
